MonthIndex,Month,Sales,TrendScore,USD_IDR
1,2021-02,19154,59.40,14042
2,2021-03,23506,57.40,14398
3,2021-04,23453,55.40,14537
4,2021-05,24044,61.20,14317
5,2021-06,24979,64.20,14368
6,2021-07,24315,63.40,14508
7,2021-08,23905,60.60,14382
8,2021-09,24228,60.00,14263
9,2021-10,24412,61.00,14187
10,2021-11,25012,65.00,14283
11,2021-12,23938,66.40,14313
12,2022-01,23163,67.20,14338
13,2022-02,23910,68.60,14353
14,2022-03,25056,70.00,14347
15,2022-04,25103,72.00,14398
16,2022-05,24530,74.40,14582
17,2022-06,24674,77.60,14709
18,2022-07,24136,85.00,14974
19,2022-08,24499,83.20,14831
20,2022-09,24693,78.60,15005
21,2022-10,24713,74.40,15428
22,2022-11,24512,72.40,15652
23,2022-12,24019,73.20,15580
24,2023-01,24950,60.60,15245
25,2023-02,24660,57.60,15158
26,2023-03,24410,59.00,15282
27,2023-04,24368,62.60,14881
28,2023-05,24290,63.00,14841
29,2023-06,24402,66.40,14943
30,2023-07,24718,67.60,15055
31,2023-08,25104,64.80,15259
32,2023-09,24811,58.80,15384
33,2023-10,24683,52.80,15766
34,2023-11,24838,51.80,15581
35,2023-12,25141,55.80,15480
36,2024-01,24838,55.00,15623
37,2024-02,25122,52.40,15668
38,2024-03,24241,55.00,15713
39,2024-04,24923,56.20,16098
40,2024-05,25212,58.60,16074
41,2024-06,25247,60.40,16356
42,2024-07,25279,63.00,16251
43,2024-08,24957,66.00,15758
44,2024-09,25356,67.20,15340
45,2024-10,25594,68.40,15605
46,2024-11,25553,67.20,15839
47,2024-12,25836,63.80,16069
48,2025-01,25714,67.80,16275
